CLIENTNUM,Customer_Age,Dependent_count,Education_Level,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,gender_F,gender_M,marital_Divorced,marital_Married,marital_Single,marital_Unknown,Target
715971108,51,4,4,5,1,42,3,2,34516.0,1763,1550,41,0,1,0,0,1,0,1
720096558,55,2,4,1,1,42,5,3,2216.0,1034,1540,36,1,0,0,1,0,0,1
719580033,54,1,4,3,1,43,4,2,2910.0,2030,1256,21,0,1,0,0,0,1,1
820582308,42,5,1,4,1,37,6,2,22913.0,1528,1394,35,0,1,0,1,0,0,1
789973308,44,1,3,3,1,35,3,3,24312.0,1932,1341,24,0,1,0,0,1,0,1
712876233,53,2,4,4,1,36,5,3,5272.0,1515,1289,33,0,1,0,0,1,0,1
804595158,44,4,4,1,1,36,6,4,7000.0,2517,1112,23,1,0,0,0,1,0,1
714826758,37,3,1,1,1,29,4,4,7038.0,1801,2339,57,1,0,0,0,1,0,1
779058108,49,3,4,3,1,30,6,1,2536.0,1823,1468,23,0,1,1,0,0,0,1
710790258,47,2,4,4,1,38,6,3,28904.0,1899,1334,35,0,1,0,1,0,0,1
715623483,47,3,4,3,1,37,4,4,8567.0,1695,1457,41,0,1,0,1,0,0,1
715156383,44,1,0,5,1,36,6,2,34516.0,1533,1603,29,0,1,0,0,0,1,1
711013983,55,4,0,2,1,45,2,4,2158.0,0,615,12,1,0,0,1,0,0,0
755420433,59,1,4,0,1,52,2,3,10133.0,1417,1068,20,1,0,0,1,0,0,1
794543958,53,1,4,4,1,35,5,4,34516.0,1219,1590,27,0,1,1,0,0,0,1
716396358,52,2,4,3,1,47,5,3,3085.0,1910,1531,35,0,1,0,1,0,0,1
715398033,53,2,2,5,1,35,4,2,19040.0,2056,1212,31,0,1,0,0,1,0,1
711743883,43,3,1,1,1,35,5,2,4026.0,0,1237,32,1,0,0,0,1,0,1
719720058,44,3,2,3,1,31,4,3,12756.0,837,1413,14,0,1,0,0,1,0,1
778992108,57,2,0,5,1,45,5,3,5266.0,0,1516,29,0,1,0,1,0,0,1
717539808,51,2,2,1,1,36,3,2,9930.0,0,1276,21,1,0,0,0,1,0,1
714070758,49,4,2,4,1,38,4,3,31302.0,1953,1564,35,0,1,0,0,1,0,1
714107958,45,1,4,2,1,36,4,4,6576.0,0,1465,34,0,1,0,0,1,0,1
789140283,53,0,4,4,1,42,5,4,2664.0,2037,1286,29,0,1,0,0,1,0,1
715550508,45,3,0,0,1,28,5,1,2535.0,2440,1312,20,1,0,0,1,0,0,1
719712633,64,1,4,1,1,52,6,4,1709.0,895,1673,32,0,1,0,1,0,0,1
772629333,45,3,4,2,1,35,5,4,3454.0,1200,1313,30,0,1,0,1,0,0,1
720336708,53,3,6,2,1,35,5,3,3789.0,1706,1609,42,0,1,0,1,0,0,1
802013583,56,3,3,5,1,50,3,2,9689.0,2250,1158,19,0,1,0,1,0,0,1
711887583,47,2,0,4,1,37,2,3,5449.0,1628,836,18,0,1,0,1,0,0,0
714778833,49,3,3,0,1,43,4,4,23032.0,1960,1289,22,1,0,0,0,1,0,1
713843283,41,3,0,0,2,34,5,3,34516.0,2053,1487,26,1,0,0,1,0,0,1
779155158,53,3,4,5,1,34,6,2,2940.0,1264,1259,33,0,1,0,1,0,0,1
721091583,44,2,4,1,1,32,3,3,3031.0,1879,1298,15,1,0,0,0,1,0,1
713572683,44,3,2,3,1,25,3,3,1862.0,0,1226,34,0,1,0,0,0,1,1
716657058,43,4,5,1,1,33,2,3,8358.0,926,1566,37,1,0,0,1,0,0,1
779509983,53,2,5,5,1,36,6,1,34516.0,931,1022,21,0,1,0,0,1,0,1
717929133,44,1,1,3,1,36,5,2,14450.0,2440,1235,30,0,1,0,1,0,0,1
708476808,54,4,0,5,1,36,6,3,33791.0,1960,1047,31,0,1,1,0,0,0,1
710916408,57,4,4,3,1,39,4,3,8466.0,1886,1342,32,0,1,0,1,0,0,1
708492558,42,3,0,3,1,36,5,3,15088.0,865,1107,21,0,1,0,1,0,0,1
799825758,42,4,2,3,1,36,5,1,3263.0,1674,1251,35,0,1,1,0,0,0,1
718619883,54,0,1,1,1,36,2,2,1494.0,706,1305,24,1,0,0,1,0,0,1
711844758,48,3,4,4,1,35,6,1,13551.0,1294,1388,37,0,1,0,0,1,0,1
714798783,49,1,4,4,1,36,6,2,18886.0,895,1235,18,0,1,0,0,1,0,1
826762908,52,3,2,4,1,48,3,2,11976.0,1273,2089,36,0,1,0,0,0,1,1
771894558,50,3,2,4,1,39,4,1,9964.0,1559,1626,25,0,1,0,0,1,0,1
715259583,53,2,2,1,1,44,3,2,5362.0,1901,1553,38,1,0,0,1,0,0,1
718414008,50,2,4,5,1,36,3,2,34516.0,1023,1064,13,0,1,0,0,1,0,1
719666283,55,1,6,1,1,36,4,1,3174.0,1951,1243,29,1,0,0,1,0,0,1
714877233,53,1,2,4,1,47,3,2,12262.0,1836,1659,38,0,1,0,1,0,0,1
785387883,47,3,2,2,1,41,4,3,3788.0,1540,1594,47,1,0,0,0,1,0,1
771075258,55,2,3,5,2,42,2,3,34516.0,1527,1268,42,0,1,0,0,1,0,1
711318033,47,3,4,3,1,36,4,2,2926.0,0,1304,24,0,1,0,0,1,0,1
783554958,58,4,4,5,1,52,6,1,32090.0,0,1368,30,0,1,0,0,1,0,1
720201033,53,2,4,4,1,41,3,3,11669.0,2227,720,23,0,1,0,1,0,0,0
718039683,52,2,2,2,1,45,3,1,13532.0,1300,1521,29,0,1,0,0,1,0,1
710806083,50,1,1,1,2,36,4,2,11888.0,2090,1137,30,1,0,0,0,0,1,1
714752208,42,1,4,1,1,36,5,1,2393.0,1985,978,16,1,0,0,1,0,0,1
822063408,43,4,0,2,1,39,5,1,6111.0,2517,1221,16,0,1,0,1,0,0,1
714490308,57,4,4,4,1,46,3,2,19270.0,1662,1565,28,0,1,0,1,0,0,1
713356833,52,1,4,4,1,43,3,1,3710.0,2517,1578,34,0,1,0,1,0,0,1
711402333,47,2,6,1,1,37,2,1,3235.0,797,1493,32,0,1,0,0,1,0,1
708296883,44,3,4,2,1,38,3,1,11749.0,788,1178,27,1,0,0,0,1,0,1
719154483,53,2,2,3,1,36,5,3,7753.0,2100,991,26,0,1,1,0,0,0,1
717721458,45,4,3,3,1,40,5,1,10408.0,1186,2560,42,0,1,1,0,0,0,1
711112683,63,1,3,0,1,36,6,2,3967.0,1568,1657,29,1,0,0,1,0,0,1
715674483,39,2,5,1,1,27,4,2,6205.0,2517,1204,19,1,0,0,0,1,0,1
789322833,48,5,2,1,1,38,1,3,8025.0,0,673,18,1,0,0,1,0,0,0
789968058,51,1,0,5,1,42,6,2,9036.0,2327,1131,18,0,1,0,0,1,0,1
709919283,54,4,4,4,1,34,2,3,14926.0,2517,1576,25,0,1,0,1,0,0,1
718744008,59,1,4,1,1,36,3,2,6335.0,1128,1217,20,1,0,0,0,1,0,1
767712558,59,1,3,3,1,53,2,3,14979.0,0,530,10,0,1,0,0,1,0,0
712950783,48,4,1,1,1,38,3,2,2732.0,0,739,16,1,0,0,1,0,0,0
716104983,41,2,4,1,1,32,6,3,2250.0,2117,1617,31,1,0,0,0,1,0,1
818839983,55,2,4,5,1,50,3,2,10916.0,1536,1592,34,0,1,0,1,0,0,1
772288758,47,4,4,0,1,36,4,1,5349.0,1228,1343,30,1,0,0,1,0,0,1
712350858,41,2,2,4,1,24,4,1,9366.0,1104,1303,39,0,1,0,1,0,0,1
711009708,40,3,2,4,1,28,5,1,21617.0,0,1351,22,0,1,0,0,1,0,1
712720158,68,1,4,0,1,56,5,2,13860.0,1652,1910,32,0,1,0,1,0,0,1
712215258,50,1,4,2,2,31,2,2,18386.0,0,1298,22,1,0,0,0,1,0,1
773827008,47,4,1,3,1,41,6,2,2405.0,1540,1087,29,0,1,0,0,1,0,1
795232683,53,1,3,1,1,47,4,2,2154.0,930,1439,26,1,0,0,1,0,0,1
713786508,42,5,0,2,1,36,3,3,2038.0,0,1238,28,1,0,0,1,0,0,1
713539833,48,4,2,2,1,38,6,1,8135.0,0,1716,29,1,0,0,0,1,0,1
712454058,49,1,6,5,1,38,6,1,9364.0,618,1099,27,0,1,0,1,0,0,1
718759833,44,2,1,0,2,35,4,3,32643.0,0,1058,24,1,0,0,1,0,0,1
718803333,43,4,4,1,1,34,2,3,3195.0,1954,1285,29,1,0,1,0,0,0,1
720253908,56,0,2,4,1,43,5,2,2852.0,1024,1651,28,0,1,0,1,0,0,1
714133158,59,1,3,0,1,36,2,3,4224.0,1305,1152,31,1,0,0,0,1,0,1
713187033,46,1,1,3,1,36,3,2,20459.0,2071,1767,38,0,1,0,1,0,0,1
772426383,50,4,1,2,1,40,5,2,3065.0,1570,1130,28,1,0,0,1,0,0,1
710975883,51,3,1,1,1,43,3,1,2185.0,1761,1645,30,1,0,0,1,0,0,1
714264408,47,3,1,1,1,36,4,1,1611.0,746,1413,29,1,0,0,1,0,0,1
715827858,58,4,1,1,1,47,3,3,2822.0,2173,1218,23,1,0,0,1,0,0,1
713741358,46,5,4,4,1,33,6,3,32975.0,2517,597,17,0,1,0,0,1,0,0
709531908,53,3,2,3,1,47,5,2,1438.3,0,2184,53,0,1,0,1,0,0,1
716493408,45,4,1,0,1,36,4,3,15875.0,1719,1592,37,1,0,1,0,0,0,1
714141108,52,1,2,1,1,45,6,3,6703.0,893,1388,28,1,0,0,1,0,0,1
708953883,53,2,0,4,1,36,2,2,3212.0,0,757,20,0,1,0,1,0,0,0
712608783,50,2,2,4,2,45,3,1,34516.0,1260,1504,34,0,1,0,1,0,0,1
820353558,41,3,2,2,1,36,4,1,9797.0,1434,1503,34,1,0,0,1,0,0,1
714964758,45,5,4,2,1,36,5,2,10400.0,1777,1105,28,1,0,1,0,0,0,1
716264358,53,3,1,4,1,42,2,1,26792.0,1836,2398,47,0,1,0,1,0,0,1
717296808,67,1,4,1,1,56,4,3,3006.0,2517,1661,32,1,0,0,1,0,0,1
712977183,57,2,1,2,2,36,6,3,19482.0,1072,1421,22,1,0,0,0,1,0,1
710829108,59,1,1,2,1,36,4,2,3356.0,985,999,28,1,0,0,1,0,0,1
779562633,45,2,1,2,1,34,3,2,5771.0,2248,1387,18,0,1,0,1,0,0,1
715315833,51,3,4,4,1,36,6,2,11106.0,2107,1243,24,0,1,0,1,0,0,1
815500983,59,1,1,1,1,54,5,3,2890.0,2001,1860,36,1,0,0,1,0,0,1
719360583,53,1,4,3,1,45,6,2,3380.0,1701,1502,25,0,1,0,1,0,0,1
709701558,47,3,4,3,1,36,2,1,21331.0,1251,1460,50,0,1,0,1,0,0,1
721148358,49,3,1,0,1,38,6,2,12860.0,0,1348,27,1,0,0,0,1,0,1
779862408,49,3,5,4,1,33,3,1,6278.0,462,1087,33,0,1,0,0,1,0,1
812627208,60,0,3,1,1,55,5,1,1438.3,738,1226,33,1,0,0,0,1,0,1
711033408,50,2,2,1,1,36,5,1,9355.0,1626,1230,28,1,0,0,1,0,0,1
779956608,41,2,5,0,1,31,6,1,20758.0,0,1555,32,1,0,0,1,0,0,1
780376683,57,1,4,4,1,47,5,3,14612.0,1976,1827,24,0,1,0,1,0,0,1
717912483,43,4,4,4,1,27,5,2,27259.0,0,1376,35,0,1,0,0,0,1,1
714454758,57,3,4,1,1,47,4,2,6347.0,1594,1771,37,1,0,0,1,0,0,1
780466533,54,3,6,5,1,41,3,3,21592.0,1676,1873,52,0,1,0,1,0,0,1
715735233,51,5,5,1,1,44,5,1,3449.0,1598,1679,42,1,0,0,1,0,0,1
720476733,47,3,2,1,1,34,2,1,6028.0,799,1002,22,1,0,0,1,0,0,1
715872333,41,0,2,5,1,36,3,2,18214.0,1998,1344,21,0,1,0,0,0,1,1
712375758,53,3,1,4,1,43,3,3,16393.0,1423,1461,42,0,1,0,1,0,0,1
708868233,68,0,2,1,1,52,1,3,1438.3,900,760,21,0,1,0,1,0,0,0
718030083,59,1,3,3,1,36,4,1,7871.0,1687,1428,22,0,1,0,1,0,0,1
720707283,48,4,0,4,1,36,5,3,5288.0,866,1777,42,0,1,0,1,0,0,1
770817783,47,4,4,3,2,33,3,2,34516.0,1679,1060,27,0,1,0,1,0,0,1
779353083,47,2,4,3,2,32,4,2,34516.0,1468,1330,32,0,1,0,1,0,0,1
711441333,43,1,2,1,2,35,3,2,10514.0,1580,1229,27,1,0,1,0,0,0,1
719808558,55,2,4,1,1,43,2,4,1438.3,0,886,27,1,0,0,1,0,0,0
711551958,59,2,5,3,1,46,3,3,1438.3,0,844,24,0,1,0,1,0,0,0
809164083,63,1,4,2,1,56,2,1,2619.0,1779,1450,37,0,1,0,1,0,0,1
820596183,58,2,3,5,1,53,2,3,24407.0,2395,2311,48,0,1,0,1,0,0,1
715999608,53,2,2,1,1,36,4,1,2377.0,1649,1378,26,1,0,0,1,0,0,1
710565408,59,0,0,4,2,40,3,2,34516.0,1359,1033,26,0,1,0,0,0,1,1
805543158,52,3,4,5,1,47,5,3,11086.0,2207,1523,40,0,1,0,1,0,0,1
709752183,48,3,2,3,1,36,4,2,11432.0,2517,1374,37,0,1,0,0,1,0,1
716479233,43,4,2,2,1,36,5,3,13258.0,1721,1080,21,0,1,0,1,0,0,1
713837058,48,2,3,1,1,36,3,2,2571.0,1955,1234,24,0,1,0,0,1,0,1
718876683,43,4,4,1,1,31,5,2,5781.0,1168,1600,32,1,0,0,0,1,0,1
770746908,44,4,0,3,1,30,5,1,7872.0,2509,1155,32,0,1,0,1,0,0,1
794843883,41,3,2,4,1,35,6,1,34516.0,1202,1353,33,0,1,0,1,0,0,1
803043933,44,3,1,1,2,38,4,1,11127.0,1835,1546,25,1,0,1,0,0,0,1
758076408,50,2,0,2,1,43,2,1,1857.0,1603,1590,43,0,1,0,0,1,0,1
714606558,60,1,1,1,1,36,5,1,1913.0,1272,1448,22,1,0,0,1,0,0,1
778425408,44,4,4,4,1,24,5,3,3839.0,2295,1271,24,0,1,0,0,1,0,1
714171108,48,3,4,2,1,39,6,2,2115.0,1141,1223,20,1,0,1,0,0,0,1
719662458,44,2,4,1,1,27,5,2,1438.3,679,1117,29,1,0,1,0,0,0,1
713137233,41,2,2,4,1,28,4,3,27756.0,1789,994,24,0,1,0,0,1,0,1
769425858,45,3,3,3,1,32,4,1,1438.3,0,1468,26,0,1,0,0,1,0,1
711297483,47,2,1,1,2,34,6,4,13878.0,2222,1658,38,1,0,1,0,0,0,1
788900883,51,2,4,1,1,36,3,1,3106.0,1304,1368,38,1,0,0,1,0,0,1
758348808,51,2,4,5,1,44,4,3,34516.0,1666,1218,18,0,1,0,1,0,0,1
772336458,60,1,1,2,1,50,4,4,1438.3,1025,702,12,1,0,0,1,0,0,0
708711483,57,2,0,4,1,46,2,3,18871.0,1740,1516,21,0,1,0,1,0,0,1
717906783,41,5,4,5,1,29,5,2,5207.0,1748,1310,26,0,1,0,0,1,0,1
719437908,44,3,5,4,1,36,6,2,17965.0,1644,1767,50,0,1,1,0,0,0,1
769433508,43,1,3,3,1,37,6,3,2733.0,1819,933,25,0,1,0,0,1,0,1
790096533,55,2,3,3,1,48,4,3,8863.0,1301,1512,27,0,1,0,1,0,0,1
720997383,52,1,1,4,1,36,2,3,1857.0,1833,829,17,0,1,0,1,0,0,0
787541883,44,3,4,4,1,33,3,3,34516.0,0,1120,27,0,1,0,0,0,1,1
709930758,41,2,1,2,1,30,5,3,11107.0,1222,1506,33,0,1,0,1,0,0,1
789830058,44,4,0,4,1,34,4,1,21573.0,1585,1384,36,0,1,0,0,1,0,1
710299608,53,2,0,1,1,33,2,3,2859.0,2517,817,30,1,0,0,1,0,0,0
710741208,39,2,2,4,1,36,4,2,5269.0,1475,2094,25,0,1,0,0,1,0,1
821797008,49,5,3,2,1,45,2,2,1438.3,0,815,21,0,1,0,1,0,0,0
708874533,45,2,3,1,1,36,1,3,3387.0,0,510,24,1,0,0,1,0,0,0
715341858,54,2,4,4,1,46,6,2,1982.0,1289,1377,49,0,1,0,1,0,0,1
793636308,49,3,1,4,1,43,2,2,4645.0,1650,1193,33,0,1,0,0,1,0,1
713779908,46,3,6,0,1,36,6,3,2189.0,1666,1287,36,1,0,0,0,1,0,1
712125258,46,4,2,5,1,30,3,3,2442.0,0,701,19,0,1,0,1,0,0,0
709703433,47,3,4,3,1,38,4,1,21304.0,1532,1770,25,0,1,0,1,0,0,1
721022433,44,2,6,3,1,36,5,1,7577.0,2480,1409,35,0,1,0,0,1,0,1
710103558,50,3,5,5,1,31,4,1,3234.0,1486,1354,28,0,1,0,0,1,0,1
715952883,73,0,2,2,1,36,5,3,4469.0,1125,1765,34,0,1,0,1,0,0,1
719731458,56,3,0,2,1,46,6,3,2910.0,709,1192,27,0,1,0,0,0,1,1
772390908,59,0,2,2,1,48,2,4,3616.0,1054,687,17,0,1,0,0,1,0,0
787348608,70,0,2,1,1,56,3,2,3252.0,1495,1227,15,0,1,0,1,0,0,1
709485033,55,2,2,1,1,36,4,3,2358.0,1152,1737,26,1,0,0,1,0,0,1
715432608,43,4,0,3,1,36,4,1,22322.0,953,1348,34,0,1,0,0,1,0,1
799471833,45,1,1,5,1,39,4,2,3133.0,1510,1435,38,0,1,0,0,1,0,1
714187533,45,2,1,2,1,35,2,3,3540.0,849,1321,28,1,0,0,0,1,0,1
779656908,40,1,4,2,1,23,6,3,6990.0,1378,1479,29,0,1,0,1,0,0,1
788950158,36,2,3,4,1,22,2,2,34516.0,1652,1283,39,0,1,0,0,0,1,1
778867533,59,0,5,2,1,40,1,4,1438.3,0,689,23,1,0,0,1,0,0,0
710620383,43,4,0,3,1,35,6,3,24396.0,1171,965,17,0,1,0,1,0,0,1
778661358,46,1,0,1,1,36,2,3,2474.0,2143,1541,40,1,0,0,1,0,0,1
789483333,41,2,1,2,1,32,5,1,5214.0,795,1258,23,0,1,0,1,0,0,1
809855808,51,2,4,1,1,46,5,2,5207.0,1650,1339,20,1,0,0,1,0,0,1
718464258,51,3,0,1,1,25,2,2,9512.0,1082,1007,22,1,0,0,0,0,1,1
708528483,43,4,4,0,1,23,6,3,3187.0,2430,1387,33,1,0,1,0,0,0,1
771809733,64,0,2,2,1,53,1,3,3353.0,0,960,18,1,0,0,1,0,0,0
719942883,54,5,4,3,1,38,3,3,2290.0,1434,1119,18,0,1,0,1,0,0,1
807226683,48,3,0,2,1,43,6,1,5279.0,1115,1642,41,0,1,0,0,1,0,1
717806133,40,2,1,3,1,29,5,3,23603.0,0,1382,31,0,1,1,0,0,0,1
720615708,57,0,1,2,1,45,6,2,2601.0,0,1232,32,0,1,0,1,0,0,1
714511758,45,4,4,4,1,40,4,3,6363.0,1029,1542,16,0,1,0,0,1,0,1
715050408,41,3,2,4,1,36,4,3,8029.0,1576,1094,32,0,1,0,0,1,0,1
721132233,42,4,1,1,1,31,2,2,2410.0,1769,1217,30,1,0,0,1,0,0,1
719211558,45,2,4,3,1,36,1,1,3401.0,0,744,18,0,1,0,0,1,0,0
712069008,42,4,1,1,1,23,4,2,2260.0,1007,1614,33,1,0,0,1,0,0,1
715996983,47,4,1,4,1,30,5,2,17682.0,2481,1747,31,0,1,1,0,0,0,1
773466258,48,4,2,2,1,42,3,1,4206.0,1100,1144,22,1,0,0,1,0,0,1
798983508,43,1,4,4,2,37,4,3,34516.0,1440,1575,34,0,1,0,0,1,0,1
719117433,41,4,2,4,1,36,4,3,23018.0,2168,1463,24,0,1,0,0,0,1,1
716451183,54,1,1,2,1,44,5,2,5556.0,1711,1706,21,1,0,0,1,0,0,1
718621608,54,2,2,0,1,44,3,3,6094.0,0,909,14,1,0,0,1,0,0,0
715085733,61,0,4,2,1,52,3,1,2939.0,1999,2434,33,0,1,0,1,0,0,1
788977833,61,0,1,4,1,48,2,1,5362.0,1274,1876,41,0,1,0,1,0,0,1
720272958,48,2,2,5,1,36,3,3,27126.0,0,1000,25,0,1,0,1,0,0,0
708421833,45,4,4,1,1,36,6,3,3342.0,2517,1139,30,1,0,0,0,1,0,1
709173108,54,4,4,0,1,40,6,2,2532.0,2221,799,21,1,0,0,1,0,0,0
709879458,54,3,6,0,1,46,2,2,1900.0,1376,1881,45,1,0,0,1,0,0,1
715120608,44,3,4,3,1,37,2,3,14546.0,1703,1273,27,0,1,0,0,1,0,1
770632758,50,4,6,0,1,36,2,3,2521.0,1608,1328,33,1,0,0,0,1,0,1
779078733,55,2,6,3,1,36,3,4,16427.0,1682,1579,36,0,1,0,1,0,0,1
771742533,48,2,4,2,1,36,5,1,13068.0,1718,937,28,0,1,0,0,0,1,1
720250158,45,2,3,3,1,33,6,3,23218.0,1814,1749,37,0,1,0,0,1,0,1
716458983,60,0,2,2,1,36,5,1,3281.0,837,1424,29,0,1,0,1,0,0,1
713747733,55,2,2,2,1,47,5,3,3096.0,2217,2011,41,0,1,0,1,0,0,1
712270158,62,0,2,2,1,52,5,2,2052.0,1250,1208,31,1,0,0,1,0,0,1
789562383,38,1,2,1,1,30,2,3,1438.3,583,1259,24,1,0,0,0,0,1,1
754897008,46,3,2,2,1,39,2,3,9432.0,1418,1319,26,0,1,0,0,1,0,1
819700533,50,0,2,5,2,45,5,2,14938.0,2303,949,27,0,1,0,0,1,0,1
