Total_Trans_Ct,Total_Revolving_Bal,Total_Relationship_Count,Months_Inactive_12_mon,Target
39,2098,3,2,1
32,1529,4,2,1
23,0,3,1,1
19,1351,5,1,1
32,1923,4,1,1
33,0,6,1,1
51,0,3,1,1
53,2216,3,3,1
48,1112,6,1,1
29,1833,5,2,1
36,1603,6,3,1
31,1895,6,2,1
39,1257,6,2,1
46,2043,6,3,1
33,809,3,3,1
39,1672,4,1,1
31,2517,4,1,1
27,1044,5,3,1
44,2493,3,2,1
63,1786,3,3,1
25,2517,3,1,1
41,1985,5,3,1
22,710,3,3,0
28,0,5,3,1
33,2008,5,2,1
47,1535,3,2,1
28,1658,4,2,1
37,1721,3,3,1
29,1084,6,2,1
45,1152,5,1,1
33,2517,3,2,1
36,977,6,1,1
25,2137,3,2,0
50,1540,5,2,1
40,2019,6,3,1
14,1799,3,3,0
31,2113,3,2,1
37,1013,6,3,1
32,0,4,1,1
40,1203,4,1,1
31,2318,5,3,1
55,1513,4,3,1
32,838,6,3,1
37,1603,3,2,1
37,2332,4,2,1
38,1412,4,2,1
49,1124,4,3,1
22,0,1,2,0
28,1466,5,3,1
29,1692,6,3,1
27,0,3,5,0
39,1387,4,3,1
28,0,6,3,1
37,2517,3,1,1
36,1601,3,3,1
46,1928,6,2,1
53,2259,6,1,1
27,0,6,3,1
35,1667,6,3,1
50,0,4,1,1
27,0,4,2,1
28,0,3,3,0
18,0,3,2,0
37,0,4,2,1
34,1788,4,2,1
35,1010,4,2,1
50,1040,4,3,1
39,1993,5,3,1
48,1276,5,2,1
39,894,6,2,1
37,0,6,3,1
27,0,3,3,1
16,0,3,3,0
54,1616,6,1,1
53,1728,5,3,1
37,1999,6,1,1
48,895,6,3,1
17,0,2,5,0
44,0,4,2,1
36,2480,3,3,1
29,1034,5,3,1
16,2517,1,3,0
45,1938,4,2,1
58,1961,6,6,1
36,1729,4,2,1
23,1975,4,2,1
59,960,4,1,1
29,1945,5,1,1
24,0,6,2,1
38,1184,3,2,1
58,706,4,1,1
26,1412,6,2,1
44,1618,4,3,1
17,0,5,3,0
18,0,2,2,0
45,1170,6,1,1
14,788,1,2,0
25,1822,3,1,1
40,862,6,2,1
29,1782,4,3,1
50,2174,5,1,1
43,1311,6,2,1
38,2252,3,1,1
45,1378,4,1,1
30,710,6,1,1
37,1430,6,5,1
21,0,3,4,0
18,0,6,1,0
54,0,6,2,1
15,0,3,2,0
30,0,4,2,1
22,361,4,1,0
28,1314,3,2,1
50,693,6,3,1
45,845,3,2,1
45,1113,3,3,1
35,1853,6,2,1
17,0,2,2,0
60,1575,4,5,1
29,0,4,1,1
46,1185,3,2,1
37,2104,4,2,1
31,1118,4,2,1
43,1437,5,2,1
50,1150,5,3,1
34,1309,6,1,1
37,479,4,1,1
58,1077,6,3,1
36,1705,4,3,1
37,819,4,2,1
57,1570,5,3,1
38,1528,4,2,1
37,2517,6,1,1
36,2217,4,2,1
30,1358,5,1,1
45,901,4,1,1
35,2170,3,3,1
24,0,6,1,0
61,0,4,2,1
25,0,4,1,0
78,1040,6,3,1
33,1550,3,2,1
39,0,4,1,1
26,1566,5,1,1
32,0,6,2,1
41,1593,3,1,1
26,2485,5,3,1
46,2021,3,3,1
55,1355,4,2,1
27,0,6,2,1
45,852,5,2,1
31,1372,3,3,1
42,2517,6,2,1
47,1406,3,3,0
32,1762,6,2,1
57,2379,6,1,1
41,1133,6,1,1
59,491,6,3,1
25,1166,3,1,1
31,1811,4,3,1
45,954,5,2,1
40,2517,5,2,1
15,306,3,1,0
40,1578,3,1,1
64,864,4,1,1
31,1676,5,2,1
10,900,2,2,0
35,1686,6,1,1
63,2326,6,1,1
48,2517,4,3,1
22,800,5,1,0
25,700,5,1,1
17,554,3,3,0
37,1213,3,2,1
49,2387,6,2,1
43,2517,3,1,1
38,2129,3,1,1
41,0,6,4,1
28,843,5,3,1
38,0,4,1,1
60,1381,5,2,1
33,2517,4,3,1
30,0,4,2,1
37,0,5,3,1
29,1235,4,2,1
27,1468,3,2,1
26,1266,3,1,1
38,1292,6,1,1
40,1553,4,1,1
30,1927,5,1,1
24,0,1,1,0
18,2517,3,3,1
34,1566,6,1,1
34,0,6,2,1
25,906,5,3,1
33,1753,3,1,1
34,1734,6,4,1
30,1693,3,1,1
35,0,3,3,1
26,996,6,2,1
35,1571,5,3,1
32,984,4,2,1
15,1930,3,3,0
38,1389,6,3,1
20,513,4,2,0
39,1791,6,1,1
64,2517,5,3,1
43,1538,6,3,1
47,0,4,1,1
41,0,6,1,1
20,2258,3,2,1
57,1183,3,3,1
40,1665,3,3,1
53,0,3,2,1
49,1295,5,2,1
59,1010,4,3,1
38,2517,3,3,1
61,1435,3,3,1
41,1656,4,1,1
32,1543,5,1,1
35,1656,4,3,1
27,1335,5,3,1
35,541,6,2,1
26,842,6,2,1
46,1745,5,3,1
39,1542,6,1,1
39,1639,4,2,1
36,987,4,3,1
65,1542,4,3,1
45,967,3,2,1
28,0,2,2,0
42,1224,4,3,1
22,1902,6,3,1
43,1847,4,1,1
32,1846,4,2,1
38,1660,6,2,1
50,942,6,3,1
40,727,5,1,1
31,1418,6,3,1
34,1839,4,1,1
25,0,5,3,0
16,0,3,2,0
49,1178,4,3,1
47,0,3,3,1
48,989,4,2,1
40,1214,3,1,1
32,1705,5,2,1
27,392,6,2,0
25,2216,5,1,1
28,1525,5,3,1
49,1197,4,3,1
47,1274,5,2,1
36,1472,4,1,1
29,1967,4,6,1
25,1864,5,1,1
39,0,4,3,1
35,1508,4,3,1
62,1380,6,2,1
67,668,3,2,1
45,1890,5,3,1
31,1203,4,3,1
30,1747,3,1,1
35,2404,5,6,1
42,2035,3,3,1
61,2350,4,1,1
15,2238,2,3,0
46,1597,5,2,1
39,1092,3,3,1
33,1758,4,3,1
66,0,6,3,1
29,0,2,3,0
41,1630,6,3,1
56,1449,3,2,1
25,2400,4,2,1
49,1935,6,3,1
26,834,5,1,1
31,1581,3,1,1
25,0,6,3,0
47,1884,4,1,1
37,1635,6,2,1
48,2144,6,1,1
56,1688,5,2,1
23,1694,3,1,1
33,1345,6,3,1
35,814,3,3,1
34,694,4,3,1
32,1927,6,2,1
39,1705,5,2,1
19,0,2,1,0
35,0,6,2,1
47,2035,4,2,1
50,0,5,1,1
58,1843,3,3,1
65,1545,4,3,1
56,2517,6,3,1
47,1487,5,2,1
33,1395,6,3,1
44,0,5,2,1
19,0,3,3,0
39,1117,3,2,1
37,1663,6,1,1
78,0,3,1,1
35,1393,4,2,1
25,2211,5,3,1
40,1794,6,3,1
36,1648,6,1,1
38,1295,5,3,1
69,1705,6,2,1
51,717,4,3,1
48,2227,6,1,1
44,2517,5,3,1
43,2116,5,3,1
45,1610,3,2,1
46,1602,6,4,1
45,2025,4,2,1
37,1984,6,2,1
45,1631,3,3,1
41,713,4,3,1
42,1482,4,1,1
32,1791,6,1,1
34,2190,4,1,1
42,1729,3,3,1
34,1262,6,2,1
29,861,2,3,0
31,1669,3,2,1
25,1603,4,2,1
21,0,4,3,0
71,0,3,1,1
45,733,6,3,1
28,350,2,3,0
50,2134,4,5,1
57,2265,3,3,1
39,0,6,2,1
58,1892,6,3,1
23,2517,5,3,1
37,0,4,3,1
40,1123,3,2,1
24,0,6,3,1
60,2517,4,3,1
47,2420,3,3,1
43,1084,4,3,1
63,2322,6,2,1
41,870,6,1,1
40,1385,3,2,1
37,658,6,3,1
36,2127,3,3,1
36,2037,3,3,1
32,1067,2,2,0
44,0,6,2,1
37,0,5,2,1
44,2242,3,2,1
57,0,6,2,1
40,1642,5,3,1
31,1142,6,3,1
31,674,6,2,1
29,1204,5,2,1
22,1347,4,3,1
24,747,3,3,1
34,758,6,2,1
26,0,5,2,0
41,1961,5,1,1
22,1478,3,1,1
29,2517,6,1,1
48,1576,3,3,1
33,1707,6,1,1
42,2257,3,1,1
49,2324,4,3,1
32,1452,5,3,0
47,997,4,2,1
30,2365,3,3,1
49,1479,5,3,1
60,2103,5,3,1
31,1421,6,1,1
42,1707,4,1,1
29,2104,4,3,1
48,673,6,3,1
40,1399,4,2,1
52,1635,5,2,1
35,0,2,1,0
35,1515,3,3,1
63,1099,3,1,1
28,1759,3,3,1
37,2517,4,3,1
56,2082,3,2,1
34,0,3,2,1
27,1095,3,3,1
36,1978,6,3,1
39,1762,5,1,1
36,0,3,1,1
55,1719,3,2,1
36,2517,6,1,1
37,1730,6,2,1
36,1521,3,3,1
25,0,3,2,0
33,288,1,3,0
31,1485,5,3,1
54,1539,5,5,1
36,0,6,6,1
35,2206,6,3,1
24,0,3,3,1
27,0,2,1,0
21,1714,4,3,1
53,1177,5,3,1
75,1890,5,1,1
33,2047,6,1,1
52,1726,4,1,1
35,1542,5,1,1
44,1691,3,2,1
34,0,6,1,1
43,2307,6,1,1
33,1292,4,3,1
50,2091,3,2,1
49,2517,5,2,1
43,1901,6,2,1
31,0,4,3,1
65,2310,6,2,1
31,629,4,3,1
63,1631,3,2,1
25,0,3,3,0
56,1900,4,3,1
74,1286,3,3,1
41,2172,3,2,1
60,1566,3,2,1
47,0,4,1,1
69,1635,4,3,1
49,962,5,2,1
53,1873,4,5,1
39,2431,5,1,1
41,1176,5,2,1
34,2024,5,1,1
64,1496,6,2,1
65,1805,5,2,1
48,681,3,3,1
34,0,3,2,1
18,0,3,2,0
21,2418,3,3,0
42,1678,5,3,1
28,1208,4,3,1
63,1669,6,3,1
50,2517,6,3,1
30,1387,6,2,1
51,2072,4,2,1
39,1418,6,1,1
31,2056,4,3,1
76,1151,6,4,1
48,0,4,3,1
36,1992,6,1,1
42,2517,3,1,1
14,0,2,2,0
62,0,6,3,1
33,2338,6,2,1
34,2517,4,3,1
39,2377,5,3,1
36,2517,4,1,1
45,2073,3,1,1
40,0,4,3,1
26,1514,6,2,1
61,1240,4,2,1
42,1035,6,1,1
25,836,4,3,1
51,1956,6,1,1
28,1996,5,1,1
32,2517,4,4,1
58,845,4,3,1
35,2097,5,2,1
38,2517,5,2,1
34,782,5,3,1
33,1024,6,1,1
60,2288,6,2,1
45,1832,5,3,1
38,1043,3,3,1
32,0,3,1,1
42,1434,5,1,1
58,0,6,3,1
40,1014,6,2,1
27,1464,5,3,1
34,2439,5,1,1
36,1394,3,3,1
32,661,6,3,1
59,1796,3,1,1
63,1136,3,2,1
28,0,6,2,1
47,0,4,2,1
57,2245,6,3,1
43,2517,6,2,0
30,997,5,1,1
38,1180,6,2,1
33,2517,3,5,1
35,1372,4,2,1
35,1881,5,2,1
38,1790,5,3,1
31,0,3,3,0
38,1772,3,2,1
27,2355,4,3,1
40,2158,5,1,1
36,2517,3,1,1
26,2245,4,3,1
42,1567,4,3,1
35,1519,5,3,1
54,1450,3,2,1
35,0,6,2,1
49,2472,3,2,1
45,1418,3,3,1
74,456,5,2,1
33,2477,6,3,1
53,1733,3,3,1
26,510,5,1,1
32,549,4,3,1
58,1733,3,3,1
34,1530,3,1,1
27,0,5,3,1
23,1085,4,1,1
45,2146,3,1,1
36,1081,5,3,1
39,1880,5,3,1
30,0,3,5,1
22,2517,6,2,0
37,2266,4,1,1
24,916,2,2,0
28,0,2,2,0
30,1692,4,2,1
46,1357,3,2,1
50,2517,3,3,1
29,1377,6,3,1
50,0,3,2,1
41,1478,4,2,1
54,1134,3,3,1
21,1746,3,3,1
32,1212,3,3,1
43,0,4,1,1
40,2517,5,3,1
38,1425,5,3,1
32,1420,3,3,1
35,1792,3,1,1
54,0,6,2,1
42,2517,6,2,1
53,2025,6,2,1
46,2134,5,2,1
12,781,1,1,0
54,854,3,1,1
45,1735,6,2,1
64,0,5,2,1
45,627,5,1,1
52,2517,6,2,1
35,954,3,3,1
40,1236,6,3,1
62,1936,4,2,1
38,1043,3,1,1
60,2472,6,2,1
14,0,5,2,0
55,1887,4,2,1
34,1249,5,1,1
31,0,3,1,1
31,1599,4,2,1
33,1445,6,1,1
55,1725,5,1,1
20,0,6,2,0
15,2517,2,1,0
43,2086,3,6,1
21,0,3,2,0
52,2145,5,2,1
18,0,2,1,0
66,0,3,2,1
50,808,5,3,1
47,1144,5,2,1
26,2005,3,3,1
29,1651,6,2,1
54,0,6,3,1
34,1410,4,2,1
47,1423,3,1,1
44,2052,5,1,1
55,1789,5,1,1
39,1888,4,2,1
36,1392,5,2,1
44,0,5,2,1
32,2517,4,1,0
43,1765,6,3,1
27,1728,4,1,1
40,1613,6,1,1
44,1514,3,3,1
31,2341,5,3,1
47,1151,3,2,1
34,2292,6,3,1
67,740,5,2,1
31,1354,5,1,1
33,2102,3,2,1
59,844,3,1,1
16,0,3,2,0
48,815,5,3,1
37,845,6,2,1
27,1691,4,2,1
38,1507,3,3,1
34,1613,3,3,1
54,1733,3,2,1
33,1926,4,1,1
27,0,3,1,1
23,1348,4,2,1
64,1495,6,1,1
58,2517,3,3,1
43,1197,4,3,1
34,2175,3,2,1
15,1884,3,2,0
59,1421,5,2,1
33,1230,4,3,1
57,932,5,2,1
21,2088,5,1,1
59,777,6,2,1
44,2517,4,1,1
29,1594,3,1,1
53,1619,5,1,1
49,2306,5,3,1
31,1776,3,3,1
67,507,6,2,1
64,1848,5,2,1
84,756,3,3,1
31,1668,5,1,1
40,1247,5,1,1
42,1893,3,2,1
65,0,4,3,1
56,0,5,5,1
43,2145,3,1,1
61,1604,3,3,1
40,1629,5,1,1
36,2055,5,1,1
43,763,6,2,1
53,1499,3,2,1
30,1880,3,2,1
43,1598,6,1,1
46,929,4,1,1
30,1797,5,1,1
52,590,3,3,1
56,671,4,1,1
39,0,3,2,1
23,1408,3,1,0
31,1932,4,2,1
40,1996,5,3,1
34,2173,6,2,1
51,1670,5,2,1
37,2470,6,1,1
46,2320,3,1,1
56,0,4,1,1
41,0,3,1,1
56,0,6,4,1
42,1592,4,3,1
49,1805,4,1,1
57,1170,4,2,1
48,2517,4,3,1
67,1228,5,1,1
45,1140,6,1,1
28,2036,4,1,1
16,2517,6,3,0
24,0,3,1,1
53,914,5,3,1
31,1824,5,2,1
31,0,2,1,0
37,684,3,3,1
58,1352,6,1,1
36,1348,3,1,1
50,2351,5,3,1
45,1773,3,3,1
40,2448,4,1,1
37,1532,6,1,1
45,1816,5,2,1
56,2005,5,3,1
54,896,6,3,1
48,2299,6,2,1
47,0,5,2,1
28,0,4,3,1
29,0,6,3,1
31,1286,5,1,1
33,775,3,1,1
37,1720,5,1,1
56,1638,6,3,1
48,2027,5,3,1
17,0,2,2,0
30,1988,5,2,1
35,1006,5,3,1
37,1469,6,3,1
37,1590,5,2,1
33,1591,6,3,1
82,930,5,3,1
22,979,3,2,0
41,1394,3,2,1
61,1872,5,3,1
29,0,4,3,1
41,2342,5,1,1
57,0,3,2,1
37,1664,6,2,1
32,1492,5,3,1
57,0,4,2,1
41,1474,4,3,1
36,1589,5,1,1
45,0,3,3,1
30,2091,5,2,1
30,1473,6,3,1
50,1242,5,3,1
88,1676,5,2,1
46,794,6,6,1
33,974,3,2,1
35,0,4,2,1
45,1279,3,1,1
55,1880,6,3,1
41,1601,4,3,1
65,1075,6,2,1
38,1416,6,1,1
26,1225,4,1,1
69,2279,4,1,1
69,695,6,3,1
49,1996,5,3,1
38,1574,6,2,1
31,2517,5,2,1
57,1905,4,3,1
62,1710,3,3,1
19,0,6,1,0
42,2468,4,1,1
31,0,3,3,0
59,930,6,1,1
28,1748,5,3,1
42,1390,4,2,1
40,0,5,3,1
35,1982,6,3,1
65,651,5,1,1
40,736,4,3,1
24,2459,6,3,1
43,1318,6,2,1
42,1303,3,2,1
30,1310,6,3,1
43,1836,3,1,1
47,1010,3,1,1
24,1422,3,3,1
45,0,3,4,1
47,1069,5,2,1
39,1598,4,1,1
36,0,4,2,1
23,1433,5,1,1
56,2037,4,3,1
60,0,5,3,1
58,1922,5,3,1
35,1806,3,2,1
26,2099,5,2,1
55,680,6,1,1
49,2517,4,2,1
52,2108,4,2,1
35,2517,4,1,1
35,1672,5,3,1
26,1148,5,3,1
62,1733,3,3,1
56,0,5,2,1
44,1560,3,3,1
33,1314,6,2,1
47,1260,6,3,1
38,1861,3,2,1
33,574,3,1,1
36,675,3,1,1
46,0,6,1,1
30,1814,4,3,1
45,1409,3,3,1
49,1567,6,1,1
37,1271,4,1,1
23,0,5,2,1
35,1147,2,1,0
44,810,3,1,1
60,733,4,3,1
21,922,4,3,1
24,0,3,2,0
51,1362,5,2,1
59,1865,5,2,1
66,704,5,4,1
47,1479,5,3,1
30,1898,4,3,1
27,951,5,1,0
43,0,4,1,1
39,1557,5,1,1
42,0,5,3,1
25,1147,3,2,1
56,1998,3,3,1
68,1147,4,2,1
45,1667,6,2,1
45,2080,6,2,1
47,2517,6,1,1
62,0,5,3,1
32,2517,1,3,0
40,0,5,6,1
21,1142,5,3,1
56,1609,5,2,1
37,1624,3,3,1
38,0,5,3,1
45,1687,3,3,1
58,1698,4,2,1
50,1101,6,3,1
60,0,4,3,1
27,1164,4,3,0
63,0,6,3,1
35,1999,6,2,1
62,2160,4,1,1
32,0,6,2,1
58,1751,6,3,1
40,0,5,3,1
50,1477,3,3,1
25,1601,6,2,1
56,0,4,2,1
74,2284,5,2,1
45,2517,3,2,1
35,2028,5,2,1
37,1924,3,3,1
51,0,3,3,1
55,1710,3,2,1
26,396,3,2,0
23,0,4,3,1
50,1721,3,1,1
63,1529,6,2,1
